metabolics_all_avg,subjectname,condname,experimentname,trialname
5.067015,wals024,walsslack,walsh,trial01
4.214548,wals077,walsslack,walsh,trial01
4.290595,wals088,walsslack,walsh,trial01
5.698502,wals112,walsslack,walsh,trial01
4.382331,wals127,walsslack,walsh,trial01
5.507328,wals128,walsslack,walsh,trial01
5.37514,wals024,walslow,walsh,trial01
3.831892,wals077,walslow,walsh,trial01
3.750461,wals088,walslow,walsh,trial01
4.497284,wals112,walslow,walsh,trial01
4.545144,wals127,walslow,walsh,trial01
5.655179,wals128,walslow,walsh,trial01
4.66032,wals024,walsmed,walsh,trial01
3.926761,wals077,walsmed,walsh,trial01
4.261538,wals088,walsmed,walsh,trial01
4.124974,wals112,walsmed,walsh,trial01
4.058638,wals127,walsmed,walsh,trial01
5.687297,wals128,walsmed,walsh,trial01
4.297005,wals024,walshigh,walsh,trial01
3.668873,wals077,walshigh,walsh,trial01
3.789378,wals088,walshigh,walsh,trial01
4.639779,wals112,walshigh,walsh,trial01
3.672935,wals127,walshigh,walsh,trial01
4.896187,wals128,walshigh,walsh,trial01
4.360246,wals024,walsmax,walsh,trial01
3.283706,wals077,walsmax,walsh,trial01
2.560549,wals088,walsmax,walsh,trial01
4.547284,wals112,walsmax,walsh,trial01
3.647306,wals127,walsmax,walsh,trial01
4.108275,wals128,walsmax,walsh,trial01
11.27605459,welk001,welknatural,welker,trial01
11.27605459,welk001,welknatural,welker,trial02
11.27605459,welk001,welknatural,welker,trial03
11.27605459,welk001,welknatural,welker,trial04
9.390569279,welk002,welknatural,welker,trial01
9.390569279,welk002,welknatural,welker,trial02
9.390569279,welk002,welknatural,welker,trial03
9.390569279,welk002,welknatural,welker,trial04
9.829316251,welk003,welknatural,welker,trial01
9.829316251,welk003,welknatural,welker,trial02
9.829316251,welk003,welknatural,welker,trial03
9.829316251,welk003,welknatural,welker,trial04
9.009394769,welk004,welknatural,welker,trial01
9.009394769,welk004,welknatural,welker,trial02
9.009394769,welk004,welknatural,welker,trial03
9.009394769,welk004,welknatural,welker,trial04
