Var2,condname,subjectname,metabolics_stance_avg
metabolics_combined_addbrev_r_TOTAL,welkexo,welk002,0.004291415374094949
metabolics_combined_addbrev_r_TOTAL,welkexo,welk003,0.007224373591899901
metabolics_combined_addbrev_r_TOTAL,welkexo,welk005,0.0040517742829317745
metabolics_combined_addbrev_r_TOTAL,welkexo,welk008,0.0073751077902684745
metabolics_combined_addbrev_r_TOTAL,welkexo,welk009,0.007192726864117425
metabolics_combined_addbrev_r_TOTAL,welkexo,welk010,0.0072514970121485
metabolics_combined_addbrev_r_TOTAL,welkexo,welk013,0.006951580098865651
metabolics_combined_addbrev_r_TOTAL,welknatural,welk002,0.007581855575668225
metabolics_combined_addbrev_r_TOTAL,welknatural,welk003,0.005150185981688525
metabolics_combined_addbrev_r_TOTAL,welknatural,welk005,0.00592559107574105
metabolics_combined_addbrev_r_TOTAL,welknatural,welk008,0.0061463332136653
metabolics_combined_addbrev_r_TOTAL,welknatural,welk009,0.00927908059507815
metabolics_combined_addbrev_r_TOTAL,welknatural,welk010,0.004751681647933925
metabolics_combined_addbrev_r_TOTAL,welknatural,welk013,0.010292037674131924
metabolics_combined_addlong_r_TOTAL,welkexo,welk002,0.008607233676953374
metabolics_combined_addlong_r_TOTAL,welkexo,welk003,0.01375148108904715
metabolics_combined_addlong_r_TOTAL,welkexo,welk005,0.024833586465542824
metabolics_combined_addlong_r_TOTAL,welkexo,welk008,0.0065119130265107
metabolics_combined_addlong_r_TOTAL,welkexo,welk009,0.025361256062559498
metabolics_combined_addlong_r_TOTAL,welkexo,welk010,0.029830811008608526
metabolics_combined_addlong_r_TOTAL,welkexo,welk013,0.03463329705252005
metabolics_combined_addlong_r_TOTAL,welknatural,welk002,0.0271829666050752
metabolics_combined_addlong_r_TOTAL,welknatural,welk003,0.013994648121965724
metabolics_combined_addlong_r_TOTAL,welknatural,welk005,0.06322762391940105
metabolics_combined_addlong_r_TOTAL,welknatural,welk008,0.01325717673265865
metabolics_combined_addlong_r_TOTAL,welknatural,welk009,0.0107095125908754
metabolics_combined_addlong_r_TOTAL,welknatural,welk010,0.0050143273307562
metabolics_combined_addlong_r_TOTAL,welknatural,welk013,0.02366290896845665
metabolics_combined_addmagDist_r_TOTAL,welkexo,welk002,0.033914912511008526
metabolics_combined_addmagDist_r_TOTAL,welkexo,welk003,0.03295380458518628
metabolics_combined_addmagDist_r_TOTAL,welkexo,welk005,0.022373329321256723
metabolics_combined_addmagDist_r_TOTAL,welkexo,welk008,0.03460320603858765
metabolics_combined_addmagDist_r_TOTAL,welkexo,welk009,0.03434088568516527
metabolics_combined_addmagDist_r_TOTAL,welkexo,welk010,0.035358348804622325
metabolics_combined_addmagDist_r_TOTAL,welkexo,welk013,0.03637527434929727
metabolics_combined_addmagDist_r_TOTAL,welknatural,welk002,0.051539621720607526
metabolics_combined_addmagDist_r_TOTAL,welknatural,welk003,0.03307161550823508
metabolics_combined_addmagDist_r_TOTAL,welknatural,welk005,0.029666026371661526
metabolics_combined_addmagDist_r_TOTAL,welknatural,welk008,0.040311210777173374
metabolics_combined_addmagDist_r_TOTAL,welknatural,welk009,0.03703739365709467
metabolics_combined_addmagDist_r_TOTAL,welknatural,welk010,0.056491372298921476
metabolics_combined_addmagDist_r_TOTAL,welknatural,welk013,0.04233995052896035
metabolics_combined_addmagIsch_r_TOTAL,welkexo,welk002,0.21177601610899177
metabolics_combined_addmagIsch_r_TOTAL,welkexo,welk003,0.1774720770600935
metabolics_combined_addmagIsch_r_TOTAL,welkexo,welk005,0.04303973560147485
metabolics_combined_addmagIsch_r_TOTAL,welkexo,welk008,0.07372576528572344
metabolics_combined_addmagIsch_r_TOTAL,welkexo,welk009,0.0777447217173534
metabolics_combined_addmagIsch_r_TOTAL,welkexo,welk010,0.08957341635718327
metabolics_combined_addmagIsch_r_TOTAL,welkexo,welk013,0.10470948618147045
metabolics_combined_addmagIsch_r_TOTAL,welknatural,welk002,0.2609414811719835
metabolics_combined_addmagIsch_r_TOTAL,welknatural,welk003,0.08687654376407128
metabolics_combined_addmagIsch_r_TOTAL,welknatural,welk005,0.07067009424812648
metabolics_combined_addmagIsch_r_TOTAL,welknatural,welk008,0.150606006288025
metabolics_combined_addmagIsch_r_TOTAL,welknatural,welk009,0.100101336709715
metabolics_combined_addmagIsch_r_TOTAL,welknatural,welk010,0.2241483342759225
metabolics_combined_addmagIsch_r_TOTAL,welknatural,welk013,0.162014623049783
metabolics_combined_addmagMid_r_TOTAL,welkexo,welk002,0.0095237394382612
metabolics_combined_addmagMid_r_TOTAL,welkexo,welk003,0.013743506238631775
metabolics_combined_addmagMid_r_TOTAL,welkexo,welk005,0.010328727278500075
metabolics_combined_addmagMid_r_TOTAL,welkexo,welk008,0.012934896989813925
metabolics_combined_addmagMid_r_TOTAL,welkexo,welk009,0.01098072448670195
metabolics_combined_addmagMid_r_TOTAL,welkexo,welk010,0.01251629245147035
metabolics_combined_addmagMid_r_TOTAL,welkexo,welk013,0.011080051824231925
metabolics_combined_addmagMid_r_TOTAL,welknatural,welk002,0.016204056784938324
metabolics_combined_addmagMid_r_TOTAL,welknatural,welk003,0.008624651151495074
metabolics_combined_addmagMid_r_TOTAL,welknatural,welk005,0.0113509640944005
metabolics_combined_addmagMid_r_TOTAL,welknatural,welk008,0.019040551165048724
metabolics_combined_addmagMid_r_TOTAL,welknatural,welk009,0.01150573377765075
metabolics_combined_addmagMid_r_TOTAL,welknatural,welk010,0.012006029276572225
metabolics_combined_addmagMid_r_TOTAL,welknatural,welk013,0.0229847299190147
metabolics_combined_addmagProx_r_TOTAL,welkexo,welk002,0.00532401115906865
metabolics_combined_addmagProx_r_TOTAL,welkexo,welk003,0.0054233413976749
metabolics_combined_addmagProx_r_TOTAL,welkexo,welk005,0.00693978383706985
metabolics_combined_addmagProx_r_TOTAL,welkexo,welk008,0.005831401572913749
metabolics_combined_addmagProx_r_TOTAL,welkexo,welk009,0.006862087913040675
metabolics_combined_addmagProx_r_TOTAL,welkexo,welk010,0.00355699689207145
metabolics_combined_addmagProx_r_TOTAL,welkexo,welk013,0.010048954968436226
metabolics_combined_addmagProx_r_TOTAL,welknatural,welk002,0.0089701604891215
metabolics_combined_addmagProx_r_TOTAL,welknatural,welk003,0.00635917387099375
metabolics_combined_addmagProx_r_TOTAL,welknatural,welk005,0.007865026874724776
metabolics_combined_addmagProx_r_TOTAL,welknatural,welk008,0.0107068173352789
metabolics_combined_addmagProx_r_TOTAL,welknatural,welk009,0.006222557535217675
metabolics_combined_addmagProx_r_TOTAL,welknatural,welk010,0.0041632016875649
metabolics_combined_addmagProx_r_TOTAL,welknatural,welk013,0.017094248705849874
metabolics_combined_bflh_r_TOTAL,welkexo,welk002,0.164043351260181
metabolics_combined_bflh_r_TOTAL,welkexo,welk003,0.17157348611454074
metabolics_combined_bflh_r_TOTAL,welkexo,welk005,0.08966984869159761
metabolics_combined_bflh_r_TOTAL,welkexo,welk008,0.0903464971183994
metabolics_combined_bflh_r_TOTAL,welkexo,welk009,0.18280925849057425
metabolics_combined_bflh_r_TOTAL,welkexo,welk010,0.0699096302009815
metabolics_combined_bflh_r_TOTAL,welkexo,welk013,0.10108234930044654
metabolics_combined_bflh_r_TOTAL,welknatural,welk002,0.22465487673776052
metabolics_combined_bflh_r_TOTAL,welknatural,welk003,0.20140142445697276
metabolics_combined_bflh_r_TOTAL,welknatural,welk005,0.16534099278379
metabolics_combined_bflh_r_TOTAL,welknatural,welk008,0.18847607647574674
metabolics_combined_bflh_r_TOTAL,welknatural,welk009,0.21676485267513151
metabolics_combined_bflh_r_TOTAL,welknatural,welk010,0.1748905981971156
metabolics_combined_bflh_r_TOTAL,welknatural,welk013,0.163551936824666
metabolics_combined_bfsh_r_TOTAL,welkexo,welk002,0.02733165327195785
metabolics_combined_bfsh_r_TOTAL,welkexo,welk003,0.0228943877936698
metabolics_combined_bfsh_r_TOTAL,welkexo,welk005,0.02750977609372305
metabolics_combined_bfsh_r_TOTAL,welkexo,welk008,0.044508812572093326
metabolics_combined_bfsh_r_TOTAL,welkexo,welk009,0.024512815118514227
metabolics_combined_bfsh_r_TOTAL,welkexo,welk010,0.01895938195577415
metabolics_combined_bfsh_r_TOTAL,welkexo,welk013,0.02165935848726765
