condname,welkexo,welkexo,welkexo,welkexo,welkexo,welkexo,welkexo,welknatural,welknatural,welknatural,welknatural,welknatural,welknatural,welknatural
subjectname,welk002,welk003,welk005,welk008,welk009,welk010,welk013,welk002,welk003,welk005,welk008,welk009,welk010,welk013
Var2,,,,,,,,,,,,,,
metabolics_combined_addbrev_r_TOTAL,0.004291415374094949,0.007224373591899901,0.0040517742829317745,0.0073751077902684745,0.007192726864117425,0.0072514970121485,0.006951580098865651,0.007581855575668225,0.005150185981688525,0.00592559107574105,0.0061463332136653,0.00927908059507815,0.004751681647933925,0.010292037674131924
metabolics_combined_addlong_r_TOTAL,0.008607233676953374,0.01375148108904715,0.024833586465542824,0.0065119130265107,0.025361256062559498,0.029830811008608526,0.03463329705252005,0.0271829666050752,0.013994648121965724,0.06322762391940105,0.01325717673265865,0.0107095125908754,0.0050143273307562,0.02366290896845665
metabolics_combined_addmagDist_r_TOTAL,0.033914912511008526,0.03295380458518628,0.022373329321256723,0.03460320603858765,0.03434088568516527,0.035358348804622325,0.03637527434929727,0.051539621720607526,0.03307161550823508,0.029666026371661526,0.040311210777173374,0.03703739365709467,0.056491372298921476,0.04233995052896035
metabolics_combined_addmagIsch_r_TOTAL,0.21177601610899177,0.1774720770600935,0.04303973560147485,0.07372576528572344,0.0777447217173534,0.08957341635718327,0.10470948618147045,0.2609414811719835,0.08687654376407128,0.07067009424812648,0.150606006288025,0.100101336709715,0.2241483342759225,0.162014623049783
metabolics_combined_addmagMid_r_TOTAL,0.0095237394382612,0.013743506238631775,0.010328727278500075,0.012934896989813925,0.01098072448670195,0.01251629245147035,0.011080051824231925,0.016204056784938324,0.008624651151495074,0.0113509640944005,0.019040551165048724,0.01150573377765075,0.012006029276572225,0.0229847299190147
metabolics_combined_addmagProx_r_TOTAL,0.00532401115906865,0.0054233413976749,0.00693978383706985,0.005831401572913749,0.006862087913040675,0.00355699689207145,0.010048954968436226,0.0089701604891215,0.00635917387099375,0.007865026874724776,0.0107068173352789,0.006222557535217675,0.0041632016875649,0.017094248705849874
metabolics_combined_bflh_r_TOTAL,0.164043351260181,0.17157348611454074,0.08966984869159761,0.0903464971183994,0.18280925849057425,0.0699096302009815,0.10108234930044654,0.22465487673776052,0.20140142445697276,0.16534099278379,0.18847607647574674,0.21676485267513151,0.1748905981971156,0.163551936824666
metabolics_combined_bfsh_r_TOTAL,0.02733165327195785,0.0228943877936698,0.02750977609372305,0.044508812572093326,0.024512815118514227,0.01895938195577415,0.02165935848726765,0.028899072292454,0.015183948069612124,0.04012337860441645,0.019989137275230124,0.0196799428588305,0.02122635538266635,0.018008878427804024
metabolics_combined_edl_r_TOTAL,0.08686998992619782,0.03447237692708523,0.08015746430375473,0.12174242892160475,0.07943623645422263,0.08036127593131454,0.046122183607620625,0.0928924073072564,0.04506961090989585,0.14869513162283524,0.08084274006917945,0.10064473241415528,0.062404222807302304,0.07796895072454241
metabolics_combined_ehl_r_TOTAL,0.0400427338782892,0.011662024482003375,0.027033332354163248,0.03256799862799715,0.028691140309988525,0.022020124073527075,0.016542175588616276,0.048023930010872476,0.012767716760395426,0.042921000104398026,0.025539169824622076,0.03322362544122363,0.024514888414436074,0.0267821158412526
metabolics_combined_fdl_r_TOTAL,0.02317013658589085,0.026126967266099626,0.0097774149841518,0.018031633378469174,0.034312482178919954,0.02573710235783845,0.009988092203999375,0.025589264601151275,0.029886663273366174,0.013361402902929975,0.0149939780330221,0.021305094590456028,0.038292994804119004,0.025274993591447976
metabolics_combined_fhl_r_TOTAL,0.10841879243267084,0.11453536551089567,0.03836256217983855,0.031201807959434502,0.08210802023659361,0.1040999542785302,0.038370319416307426,0.12059185651050097,0.12445916240191088,0.0285128066042101,0.0431120881876743,0.08117043920789146,0.162694376495907,0.07078295941529593
metabolics_combined_gaslat_r_TOTAL,0.22711817513757177,0.21514435149821476,0.14979337417848076,0.245132869387087,0.2088715211852935,0.4937970195550433,0.139947386262807,0.2489873250904045,0.31783992660883276,0.14255697505533027,0.19036482571190674,0.36981037844592973,0.399090986395531,0.24034466331417276
metabolics_combined_gasmed_r_TOTAL,0.525084664446617,0.44770758622751927,0.5605698402787712,0.4389601644871835,0.733022188084835,1.130495073843799,0.558746502439886,0.40259330707803176,0.593681710962622,0.5622530538193498,0.4718103802899765,0.857452121423676,0.6921086099093697,0.8377723889240527
