condname,welkexo,welkexo,welkexo,welkexo,welkexo,welkexo,welkexo,welknatural,welknatural,welknatural,welknatural,welknatural,welknatural,welknatural
subjectname,welk002,welk003,welk005,welk008,welk009,welk010,welk013,welk002,welk003,welk005,welk008,welk009,welk010,welk013
Var2,,,,,,,,,,,,,,
metabolics_combined_addbrev_r_TOTAL,0.07894396198024868,0.06261773239775009,0.0436955050066712,0.05635324072735195,0.07735514080604944,0.13405573351618524,0.08981317743248347,0.07997364708908977,0.07604127502304547,0.062136205478262596,0.0606503080679563,0.0603210838543382,0.13146581882390201,0.09606304439839913
metabolics_combined_addlong_r_TOTAL,0.3506657916819655,0.25091838563956725,0.22194038550604625,0.231175355314509,0.33682286428777725,0.38349513224119924,0.365884889794838,0.359718600753441,0.2985188202661125,0.27876081617904075,0.2391323695934905,0.32690215986032123,0.40704035073110223,0.3221729293338475
metabolics_combined_addmagDist_r_TOTAL,0.013087739509824226,0.013670460092147174,0.012067362055689625,0.013019570297181626,0.011302467160645601,0.01204220400902045,0.016527859812328273,0.012722004951483526,0.014911077202408,0.01599662213640975,0.0151288246217429,0.0115278832525991,0.013307494986099351,0.01811942387368585
metabolics_combined_addmagIsch_r_TOTAL,0.013051021887306724,0.01311476347131485,0.00921284906699095,0.012193756635083375,0.008656826936107349,0.00996406719647515,0.015266987369545976,0.010695356394659825,0.01525461229840675,0.01474711439755345,0.013480577210405674,0.007517369991126975,0.0093803779666385,0.009460343701382075
metabolics_combined_addmagMid_r_TOTAL,0.029327674500277227,0.0239658982179706,0.015678841611340325,0.019603012697206674,0.019733885778041575,0.0440499145995319,0.048902402016687926,0.04210421315013315,0.03111779101405135,0.020717045944313173,0.025378493848110775,0.03869098831165098,0.060517413326119,0.0668112356912004
metabolics_combined_addmagProx_r_TOTAL,0.04963570955968975,0.04446017226863803,0.039971905402942175,0.04692877474604193,0.056085409166581925,0.12532161467810224,0.10147331462332825,0.0616394925984257,0.05439789583364282,0.0712320415537603,0.0659910272396089,0.11853270425789775,0.14765888403452251,0.14618059653907975
metabolics_combined_bflh_r_TOTAL,0.021967519344934777,0.014178561124511026,0.0283655574230072,0.08128885294238737,0.0196511863690369,0.10564262443992299,0.028667006383041,0.025085988383791925,0.03651274998648703,0.05235391137388825,0.07957439773706093,0.04256422356011992,0.12022697085620775,0.06143062726385168
metabolics_combined_bfsh_r_TOTAL,0.10985229489487627,0.1561992831131935,0.1252990880590248,0.14417666608699575,0.1482870074311485,0.14826733428344374,0.1375014251617805,0.1122528296026985,0.15926444560260475,0.14933155834069725,0.15630942738868725,0.1717620222548455,0.14227384772751275,0.154835324516743
metabolics_combined_edl_r_TOTAL,0.1161739098053855,0.133783880320231,0.09466570695591264,0.0994755950279962,0.16465865477004074,0.09978973206342778,0.14309316003729924,0.09317403147947528,0.11402928105393925,0.10008245817029707,0.10722097057955045,0.121311169660703,0.08531926952685102,0.10614531349528811
metabolics_combined_ehl_r_TOTAL,0.026571729733219977,0.03253109073951543,0.018790753045171624,0.02669283575383195,0.041416422985937576,0.022574733770443202,0.034798316389962676,0.02309333965885885,0.02634935278647725,0.021091748917559574,0.02411320741986085,0.025610361387287423,0.020929758642138252,0.02504377367310365
metabolics_combined_fdl_r_TOTAL,0.00194320223447115,0.0016523583119511251,0.001965927007697125,0.001860177997306375,0.002005206445516175,0.00279037459639385,0.001814522368732725,0.00184694660991755,0.00185129769421195,0.002556538960190425,0.0020926550876380753,0.00246313165969125,0.0021124922314892753,0.0020605632178129
metabolics_combined_fhl_r_TOTAL,0.0045887808196487245,0.0037427923521487,0.00411644824487975,0.004517351313022675,0.00492080508309665,0.00501825648822585,0.0041137411621579995,0.004213891791219175,0.004670040544108125,0.004879438846125375,0.0045450976708500245,0.0062319412255757,0.004432660202878625,0.00436961361796075
metabolics_combined_gaslat_r_TOTAL,0.012169344031240825,0.00318679294814545,0.028453573020759376,0.015141782470291125,0.014463674392443573,0.009193299669607476,0.015051514636362425,0.011167295517680274,0.0362742855008917,0.05246746093654555,0.03433024078847612,0.03405999448654897,0.05222016286511115,0.0589996276996375
metabolics_combined_gasmed_r_TOTAL,0.022000289695586026,0.005551551705027875,0.0599653762429979,0.01340489617295765,0.024788625621032002,0.03896287922889932,0.04533294602580465,0.046605655384313244,0.04351974066179313,0.12266866446656949,0.1119289426524348,0.130560154632092,0.05996993729588965,0.31699955189844453
